Geographic Area Name, Total
"Saddlebrooke CDP, Arizona",8699
"Safford city, Arizona",3890
"Sahuarita town, Arizona",13792
"St. David CDP, Arizona",864
"St. Johns city, Arizona",1153
"Salome CDP, Arizona",426
"San Luis city, Arizona",436
"San Manuel CDP, Arizona",861
"San Simon CDP, Arizona",119
"San Tan Valley CDP, Arizona",40902
"Scenic CDP, Arizona",X
"Scottsdale city, Arizona",133673
"Sedona city, Arizona",5484
"Show Low city, Arizona",5642
"Shumway CDP, Arizona",X
"Sierra Vista city, Arizona",17088
"Sierra Vista Southeast CDP, Arizona",7340
"Six Shooter Canyon CDP, Arizona",362
"Snowflake town, Arizona",3010
"So-Hi CDP, Arizona",244
"Solomon CDP, Arizona",X
"Somerton city, Arizona",327
"Sonoita CDP, Arizona",441
"South Tucson city, Arizona",354
"Springerville town, Arizona",625
"Spring Valley CDP, Arizona",570
"Star Valley town, Arizona",1169
"Strawberry CDP, Arizona",526
"Summit CDP, Arizona",389
"Sun City CDP, Arizona",23005
"Sun City West CDP, Arizona",15578
"Sun Lakes CDP, Arizona",9623
"Sunsites CDP, Arizona",410
"Superior town, Arizona",481
"Surprise city, Arizona",64191
"Swift Trail Junction CDP, Arizona",872
"Tacna CDP, Arizona",99
"Tanque Verde CDP, Arizona",9812
"Taylor town, Arizona",1615
"Tempe city, Arizona",66792
"Thatcher town, Arizona",2990
"Three Points CDP, Arizona",1594
"Timberline-Fernwood CDP, Arizona",1293
"Tolleson city, Arizona",571
"Tombstone city, Arizona",530
"Tonto Basin CDP, Arizona",566
"Tonto Village CDP, Arizona",X
"Tubac CDP, Arizona",858
"Tuba City CDP, Arizona",155
"Tucson city, Arizona",164292
"Tucson Estates CDP, Arizona",4831
"Tucson Mountains CDP, Arizona",5477
"Tumacacori-Carmen CDP, Arizona",104
"Vail CDP, Arizona",6481
"Valencia West CDP, Arizona",2511
"Valle CDP, Arizona",X
"Valle Vista CDP, Arizona",887
"Verde Village CDP, Arizona",5131
"Vicksburg CDP, Arizona",165
"Village of Oak Creek (Big Park) CDP, Arizona",3749
"Wagon Wheel CDP, Arizona",785
"Walnut Creek CDP, Arizona",X
"Wellton town, Arizona",713
"Wheatfields CDP, Arizona",251
"Whetstone CDP, Arizona",1376
"White Hills CDP, Arizona",181
"White Mountain Lake CDP, Arizona",940
"Wickenburg town, Arizona",3842
"Wilhoit CDP, Arizona",392
"Willcox city, Arizona",783
"Williams city, Arizona",1240
"Williamson CDP, Arizona",4087
"Willow Valley CDP, Arizona",440
"Winslow city, Arizona",1573
"Wittmann CDP, Arizona",175
"Yarnell CDP, Arizona",299
"York CDP, Arizona",182
"Young CDP, Arizona",310
"Youngtown town, Arizona",1869
"Yuma city, Arizona",20368
"Yuma Proving Ground CDP, Arizona",135
"Acorn CDP, Arkansas",100
"Alexander city, Arkansas",613
"Alma city, Arkansas",2261
"Alpena town, Arkansas",105
"Altus city, Arkansas",288
"Amity city, Arkansas",219
"Antoine town, Arkansas",103
"Arkadelphia city, Arkansas",2168
"Ashdown city, Arkansas",874
"Ash Flat city, Arkansas",341
"Atkins city, Arkansas",1185
"Augusta city, Arkansas",349
"Austin city, Arkansas",1587
"Avilla CDP, Arkansas",534
"Avoca town, Arkansas",X
"Bald Knob city, Arkansas",707
"Barling city, Arkansas",1725
"Batavia CDP, Arkansas",123
"Batesville city, Arkansas",3723
"Bauxite town, Arkansas",X
"Bay city, Arkansas",641
"Bearden city, Arkansas",X
"Beebe city, Arkansas",3062
"Bella Vista city, Arkansas",17607
"Bellefonte town, Arkansas",170
"Benton city, Arkansas",13708
"Bentonville city, Arkansas",21530
"Bergman town, Arkansas",123
"Berryville city, Arkansas",1588
"Bethel Heights city, Arkansas",664
"Bigelow town, Arkansas",123
"Black Oak town, Arkansas",113
"Black Rock city, Arkansas",187
"Blytheville city, Arkansas",1694
"Bonanza city, Arkansas",236
"Bono city, Arkansas",900
